Tumor	R111	R112R22R93	R101R92	R102	R103R72R13	R71R62R51R82	R61	R52	R41R31	R32R11	R21R12	R91	R81
T-R1	0	0	0	0	0.029069702076	0	0	0	0	0.295308136718	0.0989451820366	0	0
T-R10	0	0	0.252031062236	0.12389380531	0.0234196817106	0	0	0	0	0	0	0	0
T-R11	0.416373387119	0.0276761249071	0	0	0	0	0	0	0	0	0	0	0
T-R2	0	0.0469707042075	0	0	0	0	0	0	0	0	0.34077241366	0	0
T-R3	0	0	0	0	0	0	0	0	0.280920060332	0.144480039298	0	0	0
T-R4	0	0	0	0	0	0	0	0	0.330169835862	0	0	0	0
T-R5	0	0	0	0	0	0.237361888788	0	0.0776182670736	0	0	0	0	0
T-R6	0	0	0	0	0	0.130734070109	0.155901083451	0	0	0	0	0	0
T-R7	0	0	0	0	0.0907790073231	0.160714285714	0	0	0	0	0	0	0
T-R8	0	0	0	0	0	0.0779987403702	0	0	0	0	0	0	0.236346101439
T-R9	0	0.0264857606261	0.130832539296	0	0	0	0	0	0	0	0	0.173188803472	0
