Tumor	R111	R112R22R93	R101R92	R102	R103R72R13	R71R62R51R82	R61	R52	R41R31	R32R11	R21R12	R91	R81
T-R1	0	0.02	0	0	1.0	0	0	0	0	1.0	0.28	0	0
T-R10	0	0	0.99	0.5	0.67	0	0	0	0	0	0	0	0
T-R11	1.0	0.89	0	0	0.04	0	0	0	0	0	0	0	0
T-R2	0	0.02	0	0	0.45	0	0	0	0	1.0	0.96	0	0
T-R3	0	0	0	0	0	0	0	0	0.15	1.0	0	0	0
T-R4	0	0.01	0	0	0.32	0	0	0	1.0	0	0	0	0
T-R5	0	0.86	0.63	0	0.06	0.6	0	1.0	0	0	0	0	0
T-R6	0	0	0	0	0.9	0.19	0.2	0	0	0	0	0	0
T-R7	0	0	0	0	1.0	0.08	0	0	0	0	0	0	0
T-R8	0	0	0	0	0.86	0	0	0	0	0	0	0	1.0
T-R9	0	0	0.21	0	0.16	0	0	0.16	0	0	0	1.0	0
