Met1T	Met3T	Met4T
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	loss	undecided
loss	loss	undecided
loss	loss	undecided
loss	loss	undecided
loss	loss	normal
loss	loss	LOH
loss	loss	LOH
loss	loss	LOH
loss	undecided	undecided
loss	undecided	undecided
loss	undecided	undecided
loss	loss	loss
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
undecided	undecided	normal
undecided	undecided	normal
undecided	undecided	normal
undecided	undecided	normal
loss	loss	LOH
loss	loss	LOH
loss	loss	LOH
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	gain	gain
loss	loss	LOH
loss	loss	LOH
loss	loss	LOH
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
LOH	loss	normal
loss	loss	undecided
loss	loss	normal
loss	loss	normal
loss	loss	normal
normal	normal	normal
normal	normal	normal
normal	normal	normal
normal	normal	normal
normal	normal	normal
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	loss	normal
loss	loss	normal
gain	gain	normal
gain	gain	normal
loss	loss	undecided
loss	loss	LOH
undecided	undecided	undecided
undecided	undecided	undecided
undecided	undecided	undecided
