Prim1T	Met1T	Met2T	Met3T	Met4T
loss	loss	LOH	loss	loss
loss	loss	LOH	loss	loss
loss	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
LOH	loss	LOH	loss	loss
normal	loss	LOH	loss	loss
normal	loss	LOH	loss	loss
normal	loss	LOH	loss	loss
normal	loss	LOH	loss	loss
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
undecided	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	LOH
normal	loss	loss	loss	loss
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	loss	undecided
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
normal	loss	loss	LOH	gain
undecided	loss	loss	LOH	gain
undecided	loss	loss	LOH	gain
undecided	loss	loss	LOH	gain
undecided	loss	loss	LOH	gain
undecided	loss	loss	LOH	gain
undecided	loss	loss	LOH	gain
undecided	loss	loss	LOH	loss
undecided	loss	loss	LOH	loss
undecided	loss	loss	LOH	loss
undecided	loss	loss	LOH	loss
undecided	loss	loss	LOH	loss
undecided	loss	loss	LOH	loss
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	normal	normal	LOH	loss
normal	normal	normal	LOH	loss
normal	normal	normal	LOH	loss
normal	normal	normal	LOH	loss
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	normal	normal	LOH	gain
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	loss	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
gain	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	loss
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
normal	loss	LOH	LOH	LOH
