PrimT	Met2T	Met3T	Met4T
loss	normal	normal	loss
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	LOH	normal	undecided
normal	LOH	normal	undecided
normal	normal	undecided	normal
normal	normal	undecided	normal
normal	normal	undecided	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
undecided	LOH	LOH	LOH
undecided	LOH	LOH	LOH
undecided	LOH	LOH	LOH
undecided	LOH	LOH	LOH
undecided	LOH	LOH	LOH
undecided	LOH	LOH	LOH
normal	normal	normal	normal
normal	normal	normal	normal
normal	loss	normal	normal
undecided	undecided	undecided	undecided
loss	loss	normal	loss
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
normal	normal	normal	normal
loss	loss	loss	loss
loss	loss	loss	loss
loss	loss	loss	loss
normal	undecided	loss	loss
normal	undecided	normal	loss
loss	normal	normal	loss
loss	normal	normal	loss
loss	normal	normal	loss
loss	normal	normal	loss
normal	undecided	normal	undecided
undecided	LOH	loss	LOH
loss	loss	loss	loss
loss	loss	loss	loss
loss	loss	loss	loss
undecided	undecided	undecided	undecided
undecided	undecided	undecided	undecided
