PrimT	Met1T	Met2T	Met3T	Met4T	Met6T
loss	LOH	loss	loss	undecided	loss
loss	LOH	loss	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
loss	LOH	loss	loss	LOH	loss
normal	LOH	loss	loss	LOH	loss
normal	LOH	loss	loss	LOH	loss
normal	LOH	loss	loss	LOH	loss
normal	LOH	loss	loss	LOH	loss
normal	LOH	loss	loss	LOH	loss
normal	LOH	loss	loss	LOH	loss
normal	LOH	normal	loss	LOH	loss
normal	LOH	normal	loss	LOH	loss
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
loss	loss	loss	loss	LOH	loss
loss	loss	loss	loss	LOH	loss
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
loss	loss	loss	loss	loss	loss
loss	loss	loss	loss	loss	loss
loss	loss	loss	loss	loss	loss
normal	normal	normal	loss	normal	normal
normal	normal	normal	loss	normal	normal
normal	LOH	normal	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
normal	LOH	normal	loss	undecided	loss
LOH	LOH	LOH	loss	LOH	loss
LOH	normal	LOH	normal	normal	normal
LOH	normal	LOH	normal	normal	normal
LOH	normal	LOH	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	normal	normal	normal	normal	normal
normal	loss	loss	loss	loss	loss
normal	loss	loss	loss	loss	loss
normal	loss	loss	loss	loss	loss
normal	loss	loss	loss	loss	loss
normal	loss	loss	loss	loss	loss
loss	loss	loss	loss	loss	loss
normal	loss	normal	loss	loss	loss
normal	loss	normal	loss	loss	loss
loss	loss	loss	loss	loss	loss
loss	loss	loss	loss	loss	loss
undecided	undecided	undecided	undecided	undecided	undecided
undecided	undecided	undecided	undecided	undecided	undecided
